Respondents,party,post,age,ethnicity,sex,religion,profession,marital,income,locality,education,years_politics,healthy_politics,other_party_comm,other_party,internal_conf_sat,fund,compromise,trust_others,separation_power,nature_bd_politics,virtue_1,virtue_1,election_confidence,party_wings,party_members,follow_nation,harmful_nation,constitution_sat,ethnic_network,student_wing_sat,singular_ideology,internal_dem,party_hierarchy,emotional,logical,logic_change,ind_cons_lib,party_cons_lib,conform_party_id,ind_ideo_imp,economy,military_spend,ext_interfere,ally_nation,narcissism,govt_sat,gen_equality,liberation_war,govt_sector_Health,govt_sector_education,values_1,values_2,route_power,source_info,tolerance,sex_lib,death_penalty,religiosity,fav_media,time_media,sac_afterlife,violence,ind_collect,rel_pol,fav_book,fav_leader
1,BNP,"Joint Secretary, Zilla BNP (Dhaka)",>Sixty,Bengali,Male,Islam,business,Married,Fifty-Eighty Thousand,Rural,Secondary,>Thirty years,No,Yes,Basod,A lot,Local donors,A lot,A lot,Totally,Democracy Shariah,achieve power,discipline,A lot,Not at all,Not at all,USA,India,Slightly,A lot,Totally,Not quite,Little bit,Not quite,Little bit,Little bit,Not at all,Slightly,Not quite,A lot,Totally,Not at all,Not at all,A lot,USA,Totally,Not at all,Not at all,Totally,Education,Health,Modesty,Faith,Caretaker government,Party members,A lot,Not at all,Totally,Little bit,WhatsApp,>Three hr,Totally,Not at all,Totally,Not at all,Hadith,Bangabandhu
2,BNP,"Mohila Dol Ahobayok, Dhaka",Forty One-Fifty,Bengali,Female,Islam,health ministry,Married,Eighty K-One Lac,Rural,PhD-PostDoc,Twenty-Thirty years,No,No,CPB,Totally,All of the above,Little bit,Not quite,Totally,Democratic,"serve the people, express opinion",tolerance,Totally,Not quiteA lot,Slightly,"USA, Singapore",China,Slightly,Totally,Totally,Totally,Little bit,Not at all,Not at all,A lot,Not at all,Totally,Little bit,A lot,Little bit,Not at all,Not at all,Not quite,EU,Totally,Not at all,Totally,A lot,Education,Academic research and development,Honesty,Tolerance,Majority through elections,Party members,Totally,Not at all,Totally,Little bit,WhatsApp,>Three hr,Little bit,Slightly,Totally,Totally,Ziaur Rahman's bio,Ziaur Rahman
3,BNP,"chatrodol Secretary JU (1997-200), Central Shechhashebok Dol Shangothonik, Dhaka Jela President, Ashulia Thana vice president (current)",Fifty One-Sixty,Bengali,Male,Islam,government job,Married,Fifty-Eighty Thousand,Rural,Masters,>Thirty years,Yes,Yes,BNP,A lot,All of the above,A lot,Totally,Totally,Democracy Shariah,nationalism,patriotism,Totally,Not at all,Not at all,"UK, Canada",India,Little bit,Little bit,Little bit,Totally,Little bit,Not quite,Little bit,Totally,Little bit,A lot,Not quite,Totally,Totally,Not at all,Not at all,Not at all,Muslim nations,Little bit,Little bit,Totally,Totally,Education,Academic research and development,Honesty,Tolerance,Majority through elections,Party members,Little bit,Not at all,Totally,Totally,WhatsApp,>Three hr,Totally,Not quite,Totally,Not at all,Quran Sharif,Hazrat Muhammad (Sm)
4,BNP,"Member, Noakhali Zilla BNP",Fifty One-Sixty,Bengali,Male,Islam,journalist,Married,>Two Lac,Semi-urban,Masters,>Thirty years,No,Yes,BNP,A lot,All of the above,Totally,Totally,Totally,Democracy Shariah,nationalism,honesty,Totally,Not at all,A lot,"USA, MALAYSIA",India,Not quite,Totally,Little bit,Little bit,Little bit,Not at all,Slightly,Totally,Not quite,Totally,Totally,A lot,Slightly,Not quite,Not quite,Not at all,USA,Totally,Not at all,Totally,A lot,Education,Health,Honesty,Tolerance,Majority through elections,Social media,A lot,Not at all,Not at all,Totally,FB-Messenger,Two-Three hr,Totally,Not at all,Totally,Little bit,Quran,Shere e bangla ak fazlul
5,BNP,"Vice president, Noakhali Zilla BNP",Forty One-Fifty,Bengali,Female,Islam,business,Married,Fifty-Eighty Thousand,Semi-urban,Honours,Twenty-Thirty years,No,Yes,BNP,Little bit,All of the above,A lot,Not quite,Little bit,Democracy Shariah,power,honesty,Little bit,Not at all,A lot,"USA, India",India,Not quite,Little bit,Little bit,Little bit,Little bit,Not at all,A lot,Little bit,Not quite,Not quite,Not quite,Little bit,A lot,Not quite,Not at all,Not quite,Muslim nations,Totally,Not quite,Little bit,Little bit,Education,Health,Honesty,Desire for Power,Caretaker government,Social media,Little bit,Not at all,Totally,A lot,WhatsApp,>Three hr,A lot,Little bit,Little bit,Little bit,Quran,Hazrat Muhammad (sm)
6,BNP,"Vice president, Noakhali Zilla BNP",>Sixty,Bengali,Male,Islam,business,Married,Fifty-Eighty Thousand,Rural,Secondary,>Thirty years,No,Yes,Basod,A lot,Local donors,A lot,A lot,Totally,Democracy Shariah,achieve power,discipline,A lot,Not at all,Not at all,USA,India,Slightly,A lot,Totally,Not quite,Little bit,Not quite,Little bit,Little bit,Not at all,Slightly,Not quite,A lot,Totally,Not at all,Not at all,A lot,USA,Totally,Not at all,Not at all,Totally,Education,Health,Modesty,Faith,Caretaker government,Party members,A lot,Not at all,Totally,Little bit,WhatsApp,>Three hr,Totally,Not at all,Totally,Not at all,Hadith,Bangabandhu
7,BNP,"General secretary, Noakhali Zilla BNP",Forty One-Fifty,Bengali,Female,Islam,health ministry,Married,Eighty K-One Lac,Rural,PhD-PostDoc,Twenty-Thirty years,No,No,CPB,Totally,All of the above,Little bit,Not quite,Totally,Democratic,"serve the people, express opinion",tolerance,Totally,Not quiteA lot,Slightly,"USA, Singapore",China,Slightly,Totally,Totally,Totally,Little bit,Not at all,Not at all,A lot,Not at all,Totally,Little bit,A lot,Little bit,Not at all,Not at all,Not quite,EU,Totally,Not at all,Totally,A lot,Education,Academic research and development,Honesty,Tolerance,Majority through elections,Party members,Totally,Not at all,Totally,Little bit,WhatsApp,>Three hr,Little bit,Slightly,Totally,Totally,Ziaur Rahman's bio,Ziaur Rahman
8,BNP,Member Noakhali Zilla BNP,Fifty One-Sixty,Bengali,Male,Islam,government job,Married,Fifty-Eighty Thousand,Rural,Masters,>Thirty years,Yes,Yes,BNP,A lot,All of the above,A lot,Totally,Totally,Democracy Shariah,nationalism,patriotism,Totally,Not at all,Not at all,"UK, Canada",India,Little bit,Little bit,Little bit,Totally,Little bit,Not quite,Little bit,Totally,Little bit,A lot,Not quite,Totally,Totally,Not quite,Not at all,Not at all,Muslim nations,Little bit,Little bit,Totally,Totally,Education,Academic research and development,Honesty,Tolerance,Majority through elections,Party members,Little bit,Not at all,Totally,Totally,WhatsApp,>Three hr,Totally,Not quite,Totally,Not at all,Quran Sharif,Hazrat Muhammad (Sm)
9,BNP,"Chairman, Noakhali zilla Parishad",Fifty One-Sixty,Bengali,Male,Islam,politics,Married,>Two Lac,Semi-urban,Masters,>Thirty years,No,Yes,BNP,A lot,All of the above,Totally,Totally,Totally,Democracy Shariah,nationalism,honesty,Totally,Not at all,A lot,"USA, MALAYSIA",India,Not quite,Totally,Little bit,Little bit,Little bit,Not at all,Slightly,Totally,Not quite,Totally,Totally,A lot,Slightly,Not quite,Not quite,Not at all,USA,Totally,Not at all,Totally,A lot,Education,Health,Honesty,Tolerance,Majority through elections,Social media,A lot,Not at all,Not at all,Totally,FB-Messenger,Two-Three hr,Totally,Not at all,Totally,Little bit,Quran,Shere e bangla ak fazlul
10,BNP," Upazilla Joint Secretary, BNP (Akhaura)",Forty One-Fifty,Bengali,Female,Islam,business,Married,Fifty-Eighty Thousand,Semi-urban,Honours,Twenty-Thirty years,No,Yes,BNP,Little bit,All of the above,A lot,Not quite,Little bit,Democracy Shariah,power,honesty,Little bit,Not at all,A lot,"USA, India",India,Not quite,Little bit,Little bit,Little bit,Little bit,Not at all,A lot,Little bit,Not quite,Not quite,Not quite,Little bit,A lot,Not quite,Not at all,Not quite,Muslim nations,Totally,Not quite,Little bit,Little bit,Education,Health,Honesty,Desire for Power,Caretaker government,Social media,Little bit,Not at all,Totally,A lot,WhatsApp,>Three hr,A lot,Little bit,Little bit,Little bit,Quran,Hazrat Muhammad (sm)
11,BNP,"General Secretary, Zilla BNP (lawyers Association_",>Sixty,Bengali,Male,Islam,lawyer,Married,Fifty-Eighty Thousand,Rural,Secondary,>Thirty years,No,Yes,Basod,A lot,Local donors,A lot,A lot,Totally,Democracy Shariah,achieve power,discipline,A lot,Not at all,Not at all,USA,India,Slightly,A lot,Totally,Not quite,Little bit,Not quite,Little bit,Little bit,Not at all,Slightly,Not quite,A lot,Totally,Not at all,Not at all,A lot,USA,Totally,Not at all,Not at all,Totally,Education,Health,Modesty,Faith,Caretaker government,Party members,A lot,Not at all,Totally,Little bit,WhatsApp,>Three hr,Totally,Not at all,Totally,Not at all,Hadith,Bangabandhu
12,BNP,Member of Parliament Noakhali,Forty One-Fifty,Bengali,Female,Islam,politics,Married,Eighty K-One Lac,Rural,PhD-PostDoc,Twenty-Thirty years,No,No,CPB,Totally,All of the above,Little bit,Not quite,Totally,Democratic,"serve the people, express opinion",tolerance,Totally,Not quiteA lot,Slightly,"USA, Singapore",China,Slightly,Totally,Totally,Totally,Little bit,Not at all,Not at all,A lot,Not at all,Totally,Little bit,A lot,Little bit,Not at all,Not at all,Not quite,EU,Totally,Not at all,Totally,A lot,Education,Academic research and development,Honesty,Tolerance,Majority through elections,Party members,Totally,Not at all,Totally,Little bit,WhatsApp,>Three hr,Little bit,Slightly,Totally,Totally,Ziaur Rahman's bio,Ziaur Rahman
13,BNP,"President, Zilla BNP (Dhaka)",Fifty One-Sixty,Bengali,Male,Islam,government job,Married,Fifty-Eighty Thousand,Rural,Masters,>Thirty years,Yes,Yes,BNP,A lot,All of the above,A lot,Totally,Totally,Democracy Shariah,nationalism,patriotism,Totally,Not at all,Not at all,"UK, Canada",India,Little bit,Little bit,Little bit,Totally,Little bit,Not quite,Little bit,Totally,Little bit,A lot,Not quite,Totally,Totally,Not quite,Not at all,Not at all,Muslim nations,Little bit,Little bit,Totally,Totally,Education,Academic research and development,Honesty,Tolerance,Majority through elections,Party members,Little bit,Not at all,Totally,Totally,WhatsApp,>Three hr,Totally,Not quite,Totally,Not at all,Quran Sharif,Hazrat Muhammad (Sm)
14,BNP,Chatrodol Secretary JU (1997-2000),Fifty One-Sixty,Bengali,Male,Islam,journalist,Married,>Two Lac,Semi-urban,Masters,>Thirty years,No,Yes,BNP,A lot,All of the above,Totally,Totally,Totally,Democracy Shariah,nationalism,honesty,Totally,Not at all,A lot,"USA, MALAYSIA",India,Not quite,Totally,Little bit,Little bit,Little bit,Not at all,Slightly,Totally,Not quite,Totally,Totally,A lot,Slightly,Not quite,Not quite,Not at all,USA,Totally,Not at all,Totally,A lot,Education,Health,Honesty,Tolerance,Majority through elections,Social media,A lot,Not at all,Not at all,Totally,FB-Messenger,Two-Three hr,Totally,Not at all,Totally,Little bit,Quran,Shere e bangla ak fazlul
